City,State,2010 Population,Website
Birmingham,Alabama,"212,237",
Montgomery,Alabama,"205,764",
Mobile,Alabama,"195,111",
Huntsville,Alabama,"180,105",
Tuscaloosa,Alabama,"90,468",
Hoover,Alabama,"81,619",
Dothan,Alabama,"65,496",
Decatur,Alabama,"55,683",
Auburn,Alabama,"53,380",
Madison,Alabama,"42,938",
Florence,Alabama,"39,319",
Gadsden,Alabama,"36,856",
Vestavia Hills,Alabama,"34,033",
Prattville,Alabama,"33,960",
Phenix City,Alabama,"32,822",
Alabaster,Alabama,"30,352",
Anchorage,Alaska,"291,826",
Fairbanks,Alaska,"31,535",
Juneau,Alaska,"31,275",
Phoenix,Arizona,"1,445,632",
Tucson,Arizona,"520,116",
Mesa,Arizona,"439,041",
Chandler,Arizona,"236,123",
Glendale,Arizona,"226,721",
Scottsdale,Arizona,"217,385",
Gilbert,Arizona,"208,453",
Tempe,Arizona,"161,719",
Peoria,Arizona,"154,065",
Surprise,Arizona,"117,517",
Yuma,Arizona,"93,064",
San Tan Valley,Arizona,"81,321",
Avondale,Arizona,"76,238",
Casas Adobes,Arizona,"66,795",
Flagstaff,Arizona,"65,870",
Goodyear,Arizona,"65,275",
Lake Havasu City,Arizona,"52,527",
Buckeye,Arizona,"50,876",
Catalina Foothills,Arizona,"50,796",
Casa Grande,Arizona,"48,571",
Sierra Vista,Arizona,"43,888",
Maricopa,Arizona,"43,482",
Oro Valley,Arizona,"41,011",
Prescott,Arizona,"39,843",
Bullhead City,Arizona,"39,540",
Prescott Valley,Arizona,"38,822",
Sun,Arizona,"37,499",
Apache Junction,Arizona,"35,840",
Marana,Arizona,"34,961",
El Mirage,Arizona,"31,797",
Little Rock,Arkansas,"193,524",
Fort Smith,Arkansas,"86,209",
Fayetteville,Arkansas,"73,580",
Springdale,Arkansas,"69,797",
Jonesboro,Arkansas,"67,263",
North Little Rock,Arkansas,"62,304",
Conway,Arkansas,"58,908",
Rogers,Arkansas,"55,964",
Pine Bluff,Arkansas,"49,083",
Bentonville,Arkansas,"35,301",
Hot Springs,Arkansas,"35,193",
Benton,Arkansas,"30,681",
Los Angeles,California,"3,792,621",
San Diego,California,"1,307,402",
San Jose,California,"945,942",
San Francisco,California,"805,235",
Fresno,California,"494,665",
Sacramento,California,"466,488",
Long Beach,California,"462,257",
Oakland,California,"390,724",
Bakersfield,California,"347,483",
Anaheim,California,"336,265",
Santa Ana,California,"324,528",
Riverside,California,"303,871",
Stockton,California,"291,707",
Chula Vista,California,"243,916",
Fremont,California,"214,089",
Irvine,California,"212,375",
San Bernardino,California,"209,924",
Modesto,California,"201,165",
Oxnard,California,"197,899",
Fontana,California,"196,069",
Moreno Valley,California,"193,365",
Glendale,California,"191,719",
Huntington Beach,California,"189,992",
Santa Clarita,California,"176,320",
Garden Grove,California,"170,883",
Santa Rosa,California,"167,815",
Oceanside,California,"167,086",
Rancho Cucamonga,California,"165,269",
Ontario,California,"163,924",
Lancaster,California,"156,633",
Elk Grove,California,"153,015",
Palmdale,California,"152,750",
Corona,California,"152,374",
Salinas,California,"150,441",
Pomona,California,"149,058",
Torrance,California,"145,438",
Hayward,California,"144,186",
Escondido,California,"143,911",
Sunnyvale,California,"140,081",
Pasadena,California,"137,122",
Orange,California,"136,416",
Fullerton,California,"135,161",
Thousand Oaks,California,"126,683",
East Los Angeles,California,"126,496",
Visalia,California,"124,442",
Simi Valley,California,"124,237",
Concord,California,"122,067",
Roseville,California,"118,788",
Santa Clara,California,"116,468",
Vallejo,California,"115,942",
Victorville,California,"115,903",
El Monte,California,"113,475",
Berkeley,California,"112,580",
Downey,California,"111,772",
Costa Mesa,California,"109,960",
Inglewood,California,"109,673",
San Buenaventura,California,"106,433",
West Covina,California,"106,098",
Norwalk,California,"105,549",
Carlsbad,California,"105,328",
Fairfield,California,"105,321",
Richmond,California,"103,701",
Murrieta,California,"103,466",
Burbank,California,"103,340",
Antioch,California,"102,372",
Daly City,California,"101,123",
Temecula,California,"100,097",
Santa Maria,California,"99,553",
El Cajon,California,"99,478",
Rialto,California,"99,171",
San Mateo,California,"97,207",
Compton,California,"96,455",
Clovis,California,"95,631",
South Gate,California,"94,396",
Vista,California,"93,834",
Mission Viejo,California,"93,305",
Vacaville,California,"92,428",
Arden-Arcade,California,"92,186",
Carson,California,"91,714",
Hesperia,California,"90,173",
Redding,California,"89,861",
Santa Monica,California,"89,736",
Westminster,California,"89,701",
Santa Barbara,California,"88,410",
Chico,California,"86,187",
Whittier,California,"85,331",
Newport Beach,California,"85,186",
San Leandro,California,"84,950",
Hawthorne,California,"84,293",
San Marcos,California,"83,781",
Citrus Heights,California,"83,301",
Alhambra,California,"83,089",
Tracy,California,"82,922",
Livermore,California,"80,968",
Buena Park,California,"80,530",
Lakewood,California,"80,048",
Merced,California,"78,958",
Hemet,California,"78,657",
Chino,California,"77,983",
Menifee,California,"77,519",
Lake Forest,California,"77,264",
Napa,California,"76,915",
Redwood City,California,"76,815",
Bellflower,California,"76,616",
Indio,California,"76,036",
Tustin,California,"75,540",
Baldwin Park,California,"75,390",
Chino Hills,California,"74,799",
Mountain View,California,"74,066",
Alameda,California,"73,812",
Upland,California,"73,732",
Folsom,California,"72,203",
San Ramon,California,"72,148",
Pleasanton,California,"70,285",
Lynwood,California,"69,772",
Union City,California,"69,516",
Apple Valley,California,"69,135",
Redlands,California,"68,747",
Turlock,California,"68,549",
Perris,California,"68,386",
Manteca,California,"67,096",
Milpitas,California,"66,790",
Redondo Beach,California,"66,748",
Davis,California,"65,622",
Camarillo,California,"65,201",
Yuba City,California,"64,925",
Rancho Cordova,California,"64,776",
Palo Alto,California,"64,403",
Yorba Linda,California,"64,234",
Walnut Creek,California,"64,173",
South San Francisco,California,"63,632",
San Clemente,California,"63,522",
Florence-Graham,California,"63,387",
Pittsburg,California,"63,264",
Laguna Niguel,California,"62,979",
Pico Rivera,California,"62,942",
Montebello,California,"62,500",
Lodi,California,"62,134",
